172.24.0.1 - - [31/Jul/2025:01:19:28 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.81.0"
172.24.0.1 - - [31/Jul/2025:01:37:25 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.81.0"
172.24.0.1 - - [31/Jul/2025:01:41:17 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.81.0"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET / HTTP/1.1" 200 524 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/js/main.1d130e9a.js HTTP/1.1" 200 219020 "https://portfolio.jlgdev.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/css/main.257003a6.css HTTP/1.1" 200 100126 "https://portfolio.jlgdev.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/FacilCV.3e70322c046f501248dd.png HTTP/1.1" 200 2118807 "https://portfolio.jlgdev.com/CVPage" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/SanamenteOnline.fed5a6b9ea88553991cc.png HTTP/1.1" 200 444084 "https://portfolio.jlgdev.com/CVPage" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/NeueMontreal-Medium.15b1070b8dac57958acf.otf HTTP/1.1" 200 41940 "https://portfolio.jlgdev.com/static/css/main.257003a6.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/NeueMontreal-Regular.140bfb4a71fe08805d92.otf HTTP/1.1" 200 40516 "https://portfolio.jlgdev.com/static/css/main.257003a6.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/slick.295183786cd8a1389865.woff HTTP/1.1" 200 1380 "https://portfolio.jlgdev.com/static/css/main.257003a6.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/NeueMontreal-Bold.0836656dccdad13f5c96.otf HTTP/1.1" 200 42916 "https://portfolio.jlgdev.com/static/css/main.257003a6.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:52 +0000] "GET /static/media/DotDagerWeb.78e172bed7e0f6841b12.png HTTP/1.1" 200 275881 "https://portfolio.jlgdev.com/CVPage" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:53 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "https://portfolio.jlgdev.com/CVPage" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:53 +0000] "GET /manifest.json HTTP/1.1" 200 252 "https://portfolio.jlgdev.com/CVPage" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:48:56 +0000] "GET /static/media/yo.37416b11dcc34d211829.jpeg HTTP/1.1" 200 108654 "https://portfolio.jlgdev.com/CVPage" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36"
172.24.0.3 - - [31/Jul/2025:01:49:42 +0000] "HEAD / HTTP/1.1" 200 0 "http://portfolio.jlgdev.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:121.0) Gecko/20100101 Firefox/121.0"
172.24.0.3 - - [31/Jul/2025:01:49:43 +0000] "GET / HTTP/1.1" 200 524 "http://portfolio.jlgdev.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0"
172.24.0.3 - - [31/Jul/2025:01:49:55 +0000] "GET / HTTP/1.1" 200 524 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36"
